,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,Power
YAG,20.6,13.4,10.9,10.7,6.1,6.4,6.6,6.9,7.0,7.4,7.7,8.0,8.3,8.6,1.0
